Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
31/01/2026,16:00,Brighton & Hove Albion,Everton,1,1,Ended
31/01/2026,16:00,Leeds United,Arsenal,0,4,Ended
31/01/2026,16:00,Wolverhampton,Bournemouth,0,2,Ended
31/01/2026,18:30,Chelsea,West Ham United,3,2,Ended
31/01/2026,21:00,Liverpool,Newcastle United,4,1,Ended
01/02/2026,15:00,Aston Villa,Brentford,0,1,Ended
01/02/2026,15:00,Manchester United,Fulham,3,2,Ended
01/02/2026,15:00,Nottingham Forest,Crystal Palace,1,1,Ended
01/02/2026,17:30,Tottenham Hotspur,Manchester City,2,2,Ended
02/02/2026,21:00,Sunderland,Burnley,3,0,Ended
