Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
13/09/2025,16:30,AFC Ajax,PEC Zwolle,3,1,Ended
13/09/2025,18:45,NEC Nijmegen,PSV Eindhoven,3,5,Ended
13/09/2025,19:10,Go Ahead Eagles,FC Volendam,3,0,Ended
13/09/2025,21:00,FC Twente,NAC Breda,2,2,Ended
13/09/2025,21:00,Feyenoord,SC Heerenveen,1,0,Ended
14/09/2025,12:15,Excelsior,Sparta Rotterdam,0,1,Ended
14/09/2025,14:30,FC Utrecht,FC Groningen,0,1,Ended
14/09/2025,14:30,Heracles Almelo,AZ Alkmaar,1,2,Ended
14/09/2025,16:45,SC Telstar,Fortuna Sittard,1,3,Ended
