Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
03/10/2025,20:00,NAC Breda,FC Groningen,1,2,Ended
04/10/2025,16:30,Sparta Rotterdam,AFC Ajax,3,3,Ended
04/10/2025,18:45,Fortuna Sittard,FC Volendam,1,0,Ended
04/10/2025,20:00,PEC Zwolle,PSV Eindhoven,0,4,Ended
04/10/2025,21:00,SC Heerenveen,Excelsior,2,1,Ended
05/10/2025,12:15,FC Twente,Heracles Almelo,2,1,Ended
05/10/2025,14:30,Feyenoord,FC Utrecht,3,2,Ended
05/10/2025,16:45,AZ Alkmaar,SC Telstar,2,1,Ended
05/10/2025,20:00,Go Ahead Eagles,NEC Nijmegen,1,1,Ended
