Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
20/12/2025,16:30,Heracles Almelo,SC Heerenveen,0,3,Ended
20/12/2025,18:45,Excelsior,PEC Zwolle,2,1,Ended
20/12/2025,20:00,NEC Nijmegen,AFC Ajax,2,2,Ended
20/12/2025,21:00,NAC Breda,SC Telstar,0,1,Ended
21/12/2025,12:15,FC Utrecht,PSV Eindhoven,1,2,Ended
21/12/2025,14:30,Feyenoord,FC Twente,1,1,Ended
21/12/2025,14:30,Go Ahead Eagles,FC Groningen,1,1,Ended
21/12/2025,16:45,FC Volendam,Sparta Rotterdam,0,1,Ended
21/12/2025,16:45,Fortuna Sittard,AZ Alkmaar,4,3,Ended
