Nome Squadra,Partite con Somma Gol >= 3,Gol Fatti,Gol Subiti
Heracles Almelo,18,30,53
Feyenoord,17,51,32
NEC Nijmegen,17,52,34
PSV Eindhoven,17,64,25
PEC Zwolle,16,30,43
AFC Ajax,16,41,28
AZ Alkmaar,15,35,34
FC Volendam,15,22,36
Fortuna Sittard,15,31,36
Go Ahead Eagles,14,31,34
NAC Breda,13,23,34
SC Heerenveen,13,32,31
Excelsior,13,21,36
FC Utrecht,12,30,27
SC Telstar,11,25,37
Sparta Rotterdam,11,27,34
FC Twente,10,31,24
FC Groningen,9,28,26
