Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
15/08/2025,20:00,SC Telstar,PEC Zwolle,0,2,Ended
16/08/2025,18:45,Excelsior,Feyenoord,1,2,Ended
16/08/2025,20:00,Heracles Almelo,NEC Nijmegen,1,4,Ended
16/08/2025,21:00,FC Groningen,SC Heerenveen,2,1,Ended
17/08/2025,12:15,Go Ahead Eagles,AFC Ajax,2,2,Ended
17/08/2025,14:30,FC Twente,PSV Eindhoven,0,2,Ended
17/08/2025,14:30,Sparta Rotterdam,FC Utrecht,2,1,Ended
17/08/2025,16:45,FC Volendam,AZ Alkmaar,2,2,Ended
17/08/2025,20:00,NAC Breda,Fortuna Sittard,2,1,Ended
