Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
22/11/2025,16:30,NAC Breda,PSV Eindhoven,0,1,Ended
22/11/2025,18:45,AFC Ajax,Excelsior,1,2,Ended
22/11/2025,18:45,FC Volendam,FC Twente,1,1,Ended
22/11/2025,21:00,Heracles Almelo,Go Ahead Eagles,4,2,Ended
22/11/2025,21:00,Sparta Rotterdam,Fortuna Sittard,1,1,Ended
23/11/2025,12:15,SC Heerenveen,AZ Alkmaar,3,1,Ended
23/11/2025,14:30,Feyenoord,NEC Nijmegen,2,4,Ended
23/11/2025,14:30,SC Telstar,FC Utrecht,1,1,Ended
23/11/2025,16:45,FC Groningen,PEC Zwolle,2,2,Ended
