Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
05/12/2025,20:00,Excelsior,FC Groningen,0,2,Ended
06/12/2025,16:30,SC Heerenveen,PSV Eindhoven,0,2,Ended
06/12/2025,18:45,Fortuna Sittard,AFC Ajax,1,3,Ended
06/12/2025,20:00,Heracles Almelo,SC Telstar,1,1,Ended
06/12/2025,21:00,Feyenoord,PEC Zwolle,6,1,Ended
07/12/2025,12:15,FC Utrecht,FC Twente,1,1,Ended
07/12/2025,14:30,AZ Alkmaar,Go Ahead Eagles,2,2,Ended
07/12/2025,14:30,FC Volendam,NEC Nijmegen,2,3,Ended
07/12/2025,16:45,Sparta Rotterdam,NAC Breda,1,0,Ended
