Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
23/08/2025,16:30,Go Ahead Eagles,Sparta Rotterdam,0,3,Ended
23/08/2025,18:45,PSV Eindhoven,FC Groningen,4,2,Ended
23/08/2025,21:00,SC Telstar,FC Volendam,2,2,Ended
24/08/2025,12:15,AZ Alkmaar,PEC Zwolle,-,-,Postponed
24/08/2025,12:15,SC Heerenveen,FC Twente,1,2,Ended
24/08/2025,14:30,FC Utrecht,Excelsior,4,1,Ended
24/08/2025,14:30,NEC Nijmegen,NAC Breda,3,0,Ended
24/08/2025,16:45,AFC Ajax,Heracles Almelo,2,0,Ended
17/09/2025,20:00,Feyenoord,Fortuna Sittard,2,0,Ended
24/09/2025,20:00,AZ Alkmaar,PEC Zwolle,2,2,Ended
