Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Somma Gol
FC Volendam,AFC Ajax,1,1,2
SC Heerenveen,Go Ahead Eagles,2,2,4
PSV Eindhoven,SC Telstar,0,2,2
Excelsior,FC Twente,1,0,1
Fortuna Sittard,NEC Nijmegen,3,2,5
PEC Zwolle,FC Utrecht,0,2,2
Sparta Rotterdam,Feyenoord,0,4,4
NAC Breda,AZ Alkmaar,0,1,1
AFC Ajax,PEC Zwolle,3,1,4
NEC Nijmegen,PSV Eindhoven,3,5,8
Go Ahead Eagles,FC Volendam,3,0,3
FC Twente,NAC Breda,2,2,4
Feyenoord,SC Heerenveen,1,0,1
Excelsior,Sparta Rotterdam,0,1,1
FC Utrecht,FC Groningen,0,1,1
Heracles Almelo,AZ Alkmaar,1,2,3
SC Telstar,Fortuna Sittard,1,3,4
Sparta Rotterdam,FC Twente,1,5,6
FC Volendam,Excelsior,1,2,3
FC Groningen,SC Telstar,2,0,2
Fortuna Sittard,FC Utrecht,1,0,1
NAC Breda,Heracles Almelo,2,1,3
PEC Zwolle,Go Ahead Eagles,0,2,2
PSV Eindhoven,AFC Ajax,2,2,4
SC Heerenveen,NEC Nijmegen,3,2,5
AZ Alkmaar,Feyenoord,3,3,6
FC Twente,Fortuna Sittard,3,2,5
AFC Ajax,NAC Breda,2,1,3
FC Volendam,PEC Zwolle,2,1,3
Excelsior,PSV Eindhoven,1,2,3
Heracles Almelo,Sparta Rotterdam,3,0,3
NEC Nijmegen,AZ Alkmaar,2,1,3
FC Groningen,Feyenoord,0,1,1
FC Utrecht,SC Heerenveen,2,2,4
SC Telstar,Go Ahead Eagles,4,2,6
NAC Breda,FC Groningen,1,2,3
Sparta Rotterdam,AFC Ajax,3,3,6
Fortuna Sittard,FC Volendam,1,0,1
PEC Zwolle,PSV Eindhoven,0,4,4
SC Heerenveen,Excelsior,2,1,3
FC Twente,Heracles Almelo,2,1,3
Feyenoord,FC Utrecht,3,2,5
AZ Alkmaar,SC Telstar,2,1,3
Go Ahead Eagles,NEC Nijmegen,1,1,2
NEC Nijmegen,FC Twente,3,3,6
FC Utrecht,FC Volendam,3,1,4
PSV Eindhoven,Go Ahead Eagles,2,1,3
AFC Ajax,AZ Alkmaar,0,2,2
NAC Breda,PEC Zwolle,2,2,4
SC Telstar,SC Heerenveen,2,3,5
Excelsior,Fortuna Sittard,1,0,1
FC Groningen,Sparta Rotterdam,0,2,2
Heracles Almelo,Feyenoord,0,7,7
