Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
10/01/2026,16:30,AZ Alkmaar,FC Volendam,1,0,Ended
10/01/2026,18:45,FC Twente,PEC Zwolle,1,1,Ended
10/01/2026,20:00,PSV Eindhoven,Excelsior,5,1,Ended
10/01/2026,21:00,FC Groningen,NAC Breda,0,0,Ended
11/01/2026,12:15,SC Heerenveen,Feyenoord,2,2,Ended
11/01/2026,14:30,Go Ahead Eagles,Fortuna Sittard,2,2,Ended
11/01/2026,14:30,SC Telstar,AFC Ajax,2,3,Ended
11/01/2026,16:45,Sparta Rotterdam,Heracles Almelo,2,0,Ended
11/02/2026,21:00,NEC Nijmegen,FC Utrecht,-,-,Not started
