Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
29/08/2025,20:00,FC Groningen,Heracles Almelo,4,0,Ended
30/08/2025,16:30,FC Volendam,AFC Ajax,1,1,Ended
30/08/2025,18:45,SC Heerenveen,Go Ahead Eagles,2,2,Ended
30/08/2025,20:00,PSV Eindhoven,SC Telstar,0,2,Ended
30/08/2025,21:00,Excelsior,FC Twente,1,0,Ended
31/08/2025,12:15,Fortuna Sittard,NEC Nijmegen,3,2,Ended
31/08/2025,14:30,PEC Zwolle,FC Utrecht,0,2,Ended
31/08/2025,14:30,Sparta Rotterdam,Feyenoord,0,4,Ended
31/08/2025,16:45,NAC Breda,AZ Alkmaar,0,1,Ended
