Nome Squadra,Partite con Somma Gol >= 3,Gol Fatti,Gol Subiti
Genoa,14,27,34
Hellas Verona,14,18,41
Inter,13,51,19
Fiorentina,13,23,35
Torino,13,22,38
Cagliari,12,27,31
Bologna,11,31,28
Napoli,11,32,21
Udinese,11,26,33
Sassuolo,11,27,28
Milan,11,37,17
Pisa,10,18,39
Juventus,10,39,17
Como,8,34,16
Parma,8,15,30
Cremonese,8,20,31
Atalanta,7,29,19
Lecce,7,13,29
Lazio,5,24,18
Roma,5,25,14
