Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
27/12/2025,12:30,Parma,Fiorentina,1,0,Ended
27/12/2025,15:00,Lecce,Como,0,3,Ended
27/12/2025,15:00,Torino,Cagliari,1,2,Ended
27/12/2025,18:00,Udinese,Lazio,1,1,Ended
27/12/2025,20:45,Pisa,Juventus,0,2,Ended
28/12/2025,12:30,Milan,Hellas Verona,3,0,Ended
28/12/2025,15:00,Cremonese,Napoli,0,2,Ended
28/12/2025,18:00,Bologna,Sassuolo,1,1,Ended
28/12/2025,20:45,Atalanta,Inter,0,1,Ended
29/12/2025,20:45,Roma,Genoa,3,1,Ended
